sentence1,sentence2,label
A man is playing a guitar,A person is playing a musical instrument,1
The cat is sleeping on the couch,A feline is resting on the sofa,1
Children are playing in the park,Kids are having fun at the playground,1
She is cooking dinner in the kitchen,A woman is preparing a meal,1
The dog is running in the yard,A canine is moving quickly outside,1
A man is playing a guitar,The weather is sunny today,0
The cat is sleeping on the couch,Stock prices rose sharply yesterday,0
Children are playing in the park,The recipe requires two eggs,0
She is cooking dinner in the kitchen,The train arrives at noon,0
The dog is running in the yard,Mathematics is a challenging subject,0
Two people are having a conversation,A pair of individuals are talking,1
The airplane is flying over the mountains,An aircraft is traveling above the peaks,1
A scientist is conducting an experiment,A researcher is performing a test,1
The flowers are blooming in the garden,Plants are flowering in the yard,1
He is reading a book on the bench,A man is studying a novel while seated,1
The flowers are blooming in the garden,The computer crashed unexpectedly,0
He is reading a book on the bench,Traffic was heavy this morning,0
Two people are having a conversation,The ocean waves are calm today,0
The airplane is flying over the mountains,She bought new shoes yesterday,0
A scientist is conducting an experiment,The pizza was delicious,0
