anchor,positive,negative
What is Python?,Python is a high-level programming language known for its simple syntax and versatility,A python is a large non-venomous snake found in tropical regions
Apple stock price,AAPL shares are trading on the NASDAQ stock exchange,Apples are nutritious fruits that grow on trees
Java programming tutorial,Java is an object-oriented programming language used for building enterprise applications,Java is an island in Indonesia known for its volcanic mountains
How to make pasta,Cook pasta in boiling salted water until al dente then drain and serve with sauce,A passport is an official travel document issued by governments
Best running shoes,Nike and Adidas make high-performance athletic footwear for runners,Running water is essential for proper plumbing systems
Machine learning algorithms,Neural networks and decision trees are common ML algorithms for pattern recognition,Learning to ride a bicycle requires balance and practice
Cloud computing services,AWS Azure and Google Cloud provide scalable computing resources over the internet,Clouds are visible masses of water droplets suspended in the atmosphere
Electric car reviews,Tesla Model 3 offers impressive range and acceleration for an electric vehicle,Car insurance protects against financial loss from accidents
Web development frameworks,React Angular and Vue are popular JavaScript frameworks for building user interfaces,Spider webs are intricate structures built by arachnids to catch prey
Data science careers,Data scientists analyze complex datasets to extract insights and build predictive models,Science fiction explores imaginative concepts about future technology
